key,source,sample_index,model,persona,trial,split,boundary,phase1,phase2,scoped_complete,reason,boundary_text,original_final_progress
gpt_4_1/expert/0/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_4_1/expert/trial_0_results.json,34,gpt_4_1,expert,0,dev,1,True,True,True,recorded_phase_boundary_only,Please update all of my contacts that were just marked as enemies back to friends.,0.8
gpt_4_1/expert/1/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_4_1/expert/trial_1_results.json,34,gpt_4_1,expert,1,dev,1,True,True,True,recorded_phase_boundary_only,Please update all of my contacts that are now marked as enemies back to being friends.,0.8
gpt_4_1/expert/2/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_4_1/expert/trial_2_results.json,34,gpt_4_1,expert,2,heldout,1,True,True,True,recorded_phase_boundary_only,Please update all of my enemies in the contact book back to being marked as friends.,0.8
gpt_4_1/expert/3/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_4_1/expert/trial_3_results.json,34,gpt_4_1,expert,3,heldout,1,True,True,True,recorded_phase_boundary_only,Please update all of my contacts that are currently marked as enemies back to friends.,0.8
gpt_4_1/expert/4/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_4_1/expert/trial_4_results.json,34,gpt_4_1,expert,4,heldout,1,True,True,True,recorded_phase_boundary_only,Please update all of those contacts back to be marked as friends.,0.8
gpt_4_1/expert/5/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_4_1/expert/trial_5_results.json,34,gpt_4_1,expert,5,heldout,1,True,True,True,recorded_phase_boundary_only,Please update all of my contacts that were just marked as enemies back to being friends.,0.8
gpt_4_1/expert/6/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_4_1/expert/trial_6_results.json,34,gpt_4_1,expert,6,heldout,1,True,True,True,recorded_phase_boundary_only,Please update all of my contacts who are now marked as enemies back to friends.,0.8
gpt_4_1/expert/7/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_4_1/expert/trial_7_results.json,34,gpt_4_1,expert,7,heldout,1,True,True,True,recorded_phase_boundary_only,Please update all of my contacts that were just marked as enemies back to friends.,0.8
gpt_4_1/nonexpert/0/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_4_1/nonexpert/trial_0_results.json,33,gpt_4_1,nonexpert,0,dev,1,True,True,True,recorded_phase_boundary_only,"Uh, cool, thanks. Can you switch them back to friends now? I think I want them as friends again.",0.8
gpt_4_1/nonexpert/1/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_4_1/nonexpert/trial_1_results.json,33,gpt_4_1,nonexpert,1,dev,1,True,True,True,recorded_phase_boundary_only,"Oh, uh, can you just switch them back to being friends again? Thanks.",0.8
gpt_4_1/nonexpert/2/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_4_1/nonexpert/trial_2_results.json,33,gpt_4_1,nonexpert,2,heldout,1,True,True,True,recorded_phase_boundary_only,"Uh, yeah, can you just switch them back to friends now? I think that’s what I want.",0.8
gpt_4_1/nonexpert/3/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_4_1/nonexpert/trial_3_results.json,33,gpt_4_1,nonexpert,3,heldout,1,True,True,True,recorded_phase_boundary_only,"Oh, uh, can you switch them back to friends now? I think I want it how it was before.",0.8
gpt_4_1/nonexpert/4/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_4_1/nonexpert/trial_4_results.json,33,gpt_4_1,nonexpert,4,heldout,1,True,True,True,recorded_phase_boundary_only,"Oh, uh, can you switch them back to friends now? Thanks.",0.8
gpt_4_1/nonexpert/5/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_4_1/nonexpert/trial_5_results.json,33,gpt_4_1,nonexpert,5,heldout,1,True,True,True,recorded_phase_boundary_only,"Uh, yeah, actually, can you just switch them back to friends now? Sorry, I keep changing my mind.",0.8
gpt_4_1/nonexpert/6/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_4_1/nonexpert/trial_6_results.json,33,gpt_4_1,nonexpert,6,heldout,1,True,True,True,recorded_phase_boundary_only,"Oh, uh, can you switch them back to friends now? I think I want them as friends again.",0.8
gpt_4_1/nonexpert/7/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_4_1/nonexpert/trial_7_results.json,34,gpt_4_1,nonexpert,7,heldout,1,True,True,True,recorded_phase_boundary_only,"Oh, cool, thanks. Um, can you switch them back to friends now? Sorry, I keep changing my mind.",0.8
gpt_4o/expert/0/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_4o/expert/trial_0_results.json,34,gpt_4o,expert,0,dev,1,True,True,True,recorded_phase_boundary_only,"Please update all those contacts back to ""friend"" status.",0.8
gpt_4o/expert/1/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_4o/expert/trial_1_results.json,34,gpt_4o,expert,1,dev,1,True,True,True,recorded_phase_boundary_only,"Please update all contacts with ""enemy"" status back to ""friend"" status.",0.8
gpt_4o/expert/2/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_4o/expert/trial_2_results.json,34,gpt_4o,expert,2,heldout,1,True,True,True,recorded_phase_boundary_only,"Please update all those contacts back to ""friend"" status.",0.8
gpt_4o/expert/3/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_4o/expert/trial_3_results.json,34,gpt_4o,expert,3,heldout,1,True,True,True,recorded_phase_boundary_only,"Please update all those contacts back to ""friend"" status.",0.8
gpt_4o/expert/4/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_4o/expert/trial_4_results.json,34,gpt_4o,expert,4,heldout,1,True,True,True,recorded_phase_boundary_only,"Please update all those contacts back to ""friend"" status.",0.8
gpt_4o/expert/5/update_contact_relationship_with_relationship_twice_multiple_user_turn,toolsandbox/gpt_4o/expert/trial_5_results.json,34,gpt_4o,expert,5,heldout,1,True,True,True,recorded_phase_boundary_only,"Please update all of them back to ""friend"" status.",0.8
