candidate_index,key,split,review_class,count_in_conservative_set,reason,reviewer,posthoc_raw_dialogue_review
0,gpt_4o/expert/0/add_reminder_content_and_weekday_delta_and_time,dev,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
1,gpt_4o/expert/1/add_reminder_content_and_weekday_delta_and_time,dev,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
2,gpt_4o/nonexpert/0/add_reminder_content_and_week_delta_and_time,dev,TIME_OF_DAY_ONLY,False,Date is tomorrow; vague like5 and a20-minute difference. Not included in conservative calendar count.,"same research assistant, no independent human reviewer",True
3,gpt_4o/nonexpert/0/add_reminder_content_and_weekday_delta_and_time,dev,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
4,gpt_4o/nonexpert/1/add_reminder_content_and_weekday_delta_and_time,dev,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
5,gpt_4o_mini/expert/0/add_reminder_content_and_weekday_delta_and_time,dev,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
6,gpt_4o_mini/expert/1/add_reminder_content_and_weekday_delta_and_time,dev,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
7,gpt_4o_mini/nonexpert/1/add_reminder_content_and_week_delta_and_time,dev,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
8,gpt_5/nonexpert/0/add_reminder_content_and_week_delta_and_time,dev,USER_TIMEZONE_UNRESOLVED,False,User specifies California; native clock offset is not automatically user timezone.,"same research assistant, no independent human reviewer",True
9,mistral_large_2411/expert/0/add_reminder_content_and_week_delta_and_time,dev,CALENDAR_EFFECT_CONFLICT,True,Actual stored date conflicts with live clock and active tomorrow/Friday request; no explicit user change to a different calendar date. Gratitude is not treated as a date revision.,"same research assistant, no independent human reviewer",True
