key,source,sample_index,sample_id,model,persona,trial,split,namespace,target_id,structural_issues,state_issues,clock_reason,clock_offset,target_epochs,content_final,time_final,effect_final,effect_ever_true,observed_regression,ever_true_final_false,initial_preserved_final,initial_preservation_ever_false,new_object_count,source_status,source_progress,source_full,source_full_effect_false_candidate,effect_history,calls,review_class,conservative_conflict
gpt_4o/expert/0/add_reminder_content_and_weekday_delta_and_time,toolsandbox/gpt_4o/expert/trial_0_results.json,3,add_reminder_content_and_weekday_delta_and_time,gpt_4o,expert,0,dev,REMINDER,,,,receipt_clock_mapping,28800,"[1758272400.0, 1758877200.0]",True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false]",4,CALENDAR_EFFECT_CONFLICT,True
gpt_4o/expert/1/add_reminder_content_and_weekday_delta_and_time,toolsandbox/gpt_4o/expert/trial_1_results.json,3,add_reminder_content_and_weekday_delta_and_time,gpt_4o,expert,1,dev,REMINDER,,,,receipt_clock_mapping,28800,"[1758272400.0, 1758877200.0]",True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false, false]",4,CALENDAR_EFFECT_CONFLICT,True
gpt_4o/nonexpert/0/add_reminder_content_and_weekday_delta_and_time,toolsandbox/gpt_4o/nonexpert/trial_0_results.json,3,add_reminder_content_and_weekday_delta_and_time,gpt_4o,nonexpert,0,dev,REMINDER,,,,receipt_clock_mapping,28800,"[1758272400.0, 1758877200.0]",True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false, false, false, false, false, false]",6,CALENDAR_EFFECT_CONFLICT,True
gpt_4o/nonexpert/1/add_reminder_content_and_weekday_delta_and_time,toolsandbox/gpt_4o/nonexpert/trial_1_results.json,3,add_reminder_content_and_weekday_delta_and_time,gpt_4o,nonexpert,1,dev,REMINDER,,,,receipt_clock_mapping,28800,"[1758272400.0, 1758877200.0]",True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false, false, false, false, false, false]",6,CALENDAR_EFFECT_CONFLICT,True
gpt_4o_mini/expert/0/add_reminder_content_and_weekday_delta_and_time,toolsandbox/gpt_4o_mini/expert/trial_0_results.json,3,add_reminder_content_and_weekday_delta_and_time,gpt_4o_mini,expert,0,dev,REMINDER,,,,receipt_clock_mapping,28800,"[1758272400.0, 1758877200.0]",True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false, false]",4,CALENDAR_EFFECT_CONFLICT,True
gpt_4o_mini/expert/1/add_reminder_content_and_weekday_delta_and_time,toolsandbox/gpt_4o_mini/expert/trial_1_results.json,3,add_reminder_content_and_weekday_delta_and_time,gpt_4o_mini,expert,1,dev,REMINDER,,,,receipt_clock_mapping,28800,"[1758272400.0, 1758877200.0]",True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false, false]",4,CALENDAR_EFFECT_CONFLICT,True
gpt_4o_mini/nonexpert/1/add_reminder_content_and_week_delta_and_time,toolsandbox/gpt_4o_mini/nonexpert/trial_1_results.json,2,add_reminder_content_and_week_delta_and_time,gpt_4o_mini,nonexpert,1,dev,REMINDER,,,,receipt_clock_mapping,28800,[1758099600.0],True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false, false, false]",3,CALENDAR_EFFECT_CONFLICT,True
mistral_large_2411/expert/0/add_reminder_content_and_week_delta_and_time,toolsandbox/mistral_large_2411/expert/trial_0_results.json,2,add_reminder_content_and_week_delta_and_time,mistral_large_2411,expert,0,dev,REMINDER,,,,receipt_clock_mapping,28800,[1758358800.0],True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false]",4,CALENDAR_EFFECT_CONFLICT,True
mistral_large_2411/expert/1/add_reminder_content_and_weekday_delta_and_time,toolsandbox/mistral_large_2411/expert/trial_1_results.json,3,add_reminder_content_and_weekday_delta_and_time,mistral_large_2411,expert,1,dev,REMINDER,,,,receipt_clock_mapping,28800,"[1758877200.0, 1759482000.0]",True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false]",4,CALENDAR_EFFECT_CONFLICT,True
mistral_large_2411/nonexpert/0/add_reminder_content_and_week_delta_and_time,toolsandbox/mistral_large_2411/nonexpert/trial_0_results.json,2,add_reminder_content_and_week_delta_and_time,mistral_large_2411,nonexpert,0,dev,REMINDER,,,,receipt_clock_mapping,28800,[1758272400.0],True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false, false]",3,CALENDAR_EFFECT_CONFLICT,True
