name,factory,candidate_class,initial_request,source_path,literal_name_line,milestones,minefields,explicit_state_constraints,automatic_guardrails,setting_is_prerequisite,independent_human_review
add_contact_with_name_and_phone_number,named_single_tool_call_scenarios,terminal_effect_candidate,"Add Stephen Sondheim to my contact, his phone_number is +19876543210",tool_sandbox/scenarios/single_tool_call_scenarios.py,438,2,0,1,6,False,False
cellular_off,named_single_tool_call_scenarios,terminal_setting_candidate,Turn off cellular,tool_sandbox/scenarios/single_tool_call_scenarios.py,46,2,0,1,3,False,False
convert_currency,named_single_tool_call_scenarios,information_only,How much is 2048 USD in CNY,tool_sandbox/scenarios/single_tool_call_scenarios.py,1015,1,0,0,0,False,False
convert_currency_canonicalize,named_single_tool_call_scenarios,information_only,How much is $2.048k in CNY,tool_sandbox/scenarios/single_tool_call_scenarios.py,1061,1,0,0,0,False,False
find_address_with_lat_lon,named_single_tool_call_scenarios,information_only,"What is the address of lattitude: 37.334606, longitude: -122.009102",tool_sandbox/scenarios/single_tool_call_scenarios.py,768,2,0,0,4,False,False
find_phone_number_with_location_name,named_single_tool_call_scenarios,information_only,What's the phone number of Apple Park,tool_sandbox/scenarios/single_tool_call_scenarios.py,829,2,0,0,4,False,False
find_stock_symbol_with_company_name,named_single_tool_call_scenarios,information_only,What's the stock symbol for Apple,tool_sandbox/scenarios/single_tool_call_scenarios.py,957,2,0,0,4,False,False
find_temperature,named_single_tool_call_scenarios,information_only,What's the temperature here right now,tool_sandbox/scenarios/single_tool_call_scenarios.py,891,2,0,0,4,False,False
find_thanksgiving_timestamp,named_single_tool_call_scenarios,information_only,What is the timestamp for Thanksgiving,tool_sandbox/scenarios/single_tool_call_scenarios.py,723,1,0,0,0,False,False
get_cellular,named_single_tool_call_scenarios,information_only,Is my cellular service on?,tool_sandbox/scenarios/single_tool_call_scenarios.py,93,2,0,0,4,False,False
get_wifi,named_single_tool_call_scenarios,information_only,Is my wifi on?,tool_sandbox/scenarios/single_tool_call_scenarios.py,195,2,0,0,4,False,False
remove_contact_with_id,named_single_tool_call_scenarios,terminal_effect_candidate,Remove id 9e137f06-916a-5310-8174-cf0b7e9f7054 from my contact,tool_sandbox/scenarios/single_tool_call_scenarios.py,498,2,0,1,6,False,False
search_name_with_relationship,named_single_tool_call_scenarios,information_only,What is the name of my boss?,tool_sandbox/scenarios/single_tool_call_scenarios.py,321,2,0,0,4,False,False
search_phone_number_with_name,named_single_tool_call_scenarios,information_only,What is Homer S's phone number?,tool_sandbox/scenarios/single_tool_call_scenarios.py,250,2,0,0,4,False,False
search_relationship_with_phone_number,named_single_tool_call_scenarios,information_only,What's my relationship with +10000000000,tool_sandbox/scenarios/single_tool_call_scenarios.py,378,2,0,0,4,False,False
search_sender_phone_number_with_content,named_single_tool_call_scenarios,information_only,Which phone number asked me if I want some GPUs?,tool_sandbox/scenarios/single_tool_call_scenarios.py,614,2,0,0,4,False,False
send_message_with_phone_number_and_content,named_single_tool_call_scenarios,terminal_effect_candidate,Send a message to +12453344098 saying: How's the new album coming along,tool_sandbox/scenarios/single_tool_call_scenarios.py,671,2,0,1,6,False,False
update_contact_with_id_and_phone_number,named_single_tool_call_scenarios,terminal_effect_candidate,Update phone number of the person with id 9e137f06-916a-5310-8174-cf0b7e9f7054  to +19876543210,tool_sandbox/scenarios/single_tool_call_scenarios.py,553,2,0,1,6,False,False
wifi_off,named_single_tool_call_scenarios,terminal_setting_candidate,Turn off wifi,tool_sandbox/scenarios/single_tool_call_scenarios.py,148,2,0,1,3,False,False
add_reminder_content_and_date_and_time,named_multiple_tool_call_scenarios,terminal_effect_candidate,Remind me to buy chocolate milk 3/22/2024 5PM,tool_sandbox/scenarios/multiple_tool_call_scenarios.py,4705,2,0,1,3,False,False
add_reminder_content_and_date_and_time_alt,named_multiple_tool_call_scenarios,terminal_effect_candidate,Add a to do to buy chocolate milk 3/22/2024 5PM,tool_sandbox/scenarios/multiple_tool_call_scenarios.py,4771,2,0,1,3,False,False
add_reminder_content_and_week_delta_and_time,named_multiple_tool_call_scenarios,terminal_effect_candidate,Remind me to buy chocolate milk tomorrow 5PM,tool_sandbox/scenarios/multiple_tool_call_scenarios.py,4838,2,0,1,3,False,False
add_reminder_content_and_week_delta_and_time_alt,named_multiple_tool_call_scenarios,terminal_effect_candidate,Add a todo to buy chocolate milk tomorrow 5PM,tool_sandbox/scenarios/multiple_tool_call_scenarios.py,4907,2,0,1,3,False,False
add_reminder_content_and_week_delta_and_time_and_location,named_multiple_tool_call_scenarios,terminal_effect_candidate,Remind me to buy chocolate milk tomorrow 5PM at Whole Foods on Stevens Creek.,tool_sandbox/scenarios/multiple_tool_call_scenarios.py,5126,3,0,1,6,False,False
add_reminder_content_and_week_delta_and_time_and_location_alt,named_multiple_tool_call_scenarios,terminal_effect_candidate,Add a todo to buy chocolate milk tomorrow 5PM at Whole Foods on Stevens Creek.,tool_sandbox/scenarios/multiple_tool_call_scenarios.py,5233,3,0,1,6,False,False
add_reminder_content_and_weekday_delta_and_time,named_multiple_tool_call_scenarios,terminal_effect_candidate,Remind me to buy chocolate milk next Friday 5PM,tool_sandbox/scenarios/multiple_tool_call_scenarios.py,4976,2,0,1,3,False,False
add_reminder_content_and_weekday_delta_and_time_alt,named_multiple_tool_call_scenarios,terminal_effect_candidate,Add a todo to buy chocolate milk next Friday 5PM,tool_sandbox/scenarios/multiple_tool_call_scenarios.py,5051,2,0,1,3,False,False
find_current_city_low_battery_mode,named_multiple_tool_call_scenarios,information_with_transient_prerequisites,What city am I in?,tool_sandbox/scenarios/multiple_tool_call_scenarios.py,3556,6,0,3,19,True,False
find_current_city_low_battery_mode_alt,named_multiple_tool_call_scenarios,information_with_transient_prerequisites,Gimme my current city.,tool_sandbox/scenarios/multiple_tool_call_scenarios.py,3708,6,0,3,19,True,False
